date,week_no,trial_id,tank,side,urchin_dens,urchin_size_cat,days_starved,kelp_in,time_out,kelp_out,use,size,weight
5/27/19,2,35,5,I,7,1,5,50.5,1100,45.8,1,18,3.6
5/27/19,2,35,5,I,7,1,5,50.5,1100,45.8,1,16,3
5/27/19,2,35,5,I,7,1,5,50.5,1100,45.8,1,17,2.8
5/27/19,2,35,5,I,7,1,5,50.5,1100,45.8,1,15,2.6
5/27/19,2,35,5,I,7,1,5,50.5,1100,45.8,1,18,3.8
5/27/19,2,36,5,D,7,3,5,50.6,1100,28.4,1,35,19.4
5/27/19,2,36,5,D,7,3,5,50.6,1100,28.4,1,34,17.6
5/27/19,2,36,5,D,7,3,5,50.6,1100,28.4,1,35,21
5/27/19,2,36,5,D,7,3,5,50.6,1100,28.4,1,34,17.6
5/27/19,2,36,5,D,7,3,5,50.6,1100,28.4,1,36,23.7
5/27/19,2,36,5,D,7,3,5,50.6,1100,28.4,1,35,19.6
5/27/19,2,36,5,D,7,3,5,50.6,1100,28.4,1,37,23.4
5/27/19,2,37,6,D,7,4,5,50.3,1100,46.9,1,43,43.6
5/27/19,2,37,6,D,7,4,5,50.3,1100,46.9,1,44,46.2
5/27/19,2,37,6,D,7,4,5,50.3,1100,46.9,1,45,41.8
5/27/19,2,37,6,D,7,4,5,50.3,1100,46.9,1,41,29.2
5/27/19,2,37,6,D,7,4,5,50.3,1100,46.9,1,43,32.4
5/27/19,2,37,6,D,7,4,5,50.3,1100,46.9,1,43,34.3
5/27/19,2,37,6,D,7,4,5,50.3,1100,46.9,1,40,31.7
5/27/19,2,38,6,I,7,6,5,49.6,1100,41.4,1,63,121.7
5/27/19,2,38,6,I,7,6,5,49.6,1100,41.4,1,59,96.8
5/27/19,2,38,6,I,7,6,5,49.6,1100,41.4,1,66,129.4
5/27/19,2,38,6,I,7,6,5,49.6,1100,41.4,1,69,171.2
5/27/19,2,38,6,I,7,6,5,49.6,1100,41.4,1,61,85.8
5/27/19,2,38,6,I,7,6,5,49.6,1100,41.4,1,62,95.3
5/27/19,2,38,6,I,7,6,5,49.6,1100,41.4,1,64,110.9
5/27/19,2,39,7,I,7,2,5,49.6,1100,41.1,1,25,7.3
5/27/19,2,39,7,I,7,2,5,49.6,1100,41.1,1,27,11.6
5/27/19,2,39,7,I,7,2,5,49.6,1100,41.1,1,24,7.6
5/27/19,2,39,7,I,7,2,5,49.6,1100,41.1,1,23,6.2
5/27/19,2,39,7,I,7,2,5,49.6,1100,41.1,1,21,4.9
5/27/19,2,39,7,I,7,2,5,49.6,1100,41.1,1,22,5.3
5/27/19,2,39,7,I,7,2,5,49.6,1100,41.1,1,20,4.4
5/27/19,2,40,7,D,7,5,5,50.8,1100,27,1,57,79.8
5/27/19,2,40,7,D,7,5,5,50.8,1100,27,1,58,83.6
5/27/19,2,40,7,D,7,5,5,50.8,1100,27,1,59,89.7
5/27/19,2,40,7,D,7,5,5,50.8,1100,27,1,59,94
5/27/19,2,40,7,D,7,5,5,50.8,1100,27,1,59,87.8
5/27/19,2,40,7,D,7,5,5,50.8,1100,27,1,51,57.6
5/27/19,2,40,7,D,7,5,5,50.8,1100,27,1,59,100.1
5/27/19,2,41,8,D,7,4,5,50.6,1100,35.4,1,43,35.8
5/27/19,2,41,8,D,7,4,5,50.6,1100,35.4,1,44,45.8
5/27/19,2,41,8,D,7,4,5,50.6,1100,35.4,1,44,35.7
5/27/19,2,41,8,D,7,4,5,50.6,1100,35.4,1,42,31
5/27/19,2,41,8,D,7,4,5,50.6,1100,35.4,1,46,41
5/27/19,2,41,8,D,7,4,5,50.6,1100,35.4,1,44,37.7
5/27/19,2,41,8,D,7,4,5,50.6,1100,35.4,1,41,36.2
5/27/19,2,43,9,D,7,1,5,50.7,1100,46,1,15,2.4
5/27/19,2,43,9,D,7,1,5,50.7,1100,46,1,18,3.4
5/27/19,2,43,9,D,7,1,5,50.7,1100,46,1,16,2.5
5/27/19,2,43,9,D,7,1,5,50.7,1100,46,1,13,1.5
5/27/19,2,43,9,D,7,1,5,50.7,1100,46,1,18,3.3
5/27/19,2,43,9,D,7,1,5,50.7,1100,46,1,17,2.9
5/27/19,2,43,9,D,7,1,5,50.7,1100,46,1,17,2.6
5/27/19,2,44,9,I,7,2,5,50.8,1100,43.1,1,22,6.1
5/27/19,2,44,9,I,7,2,5,50.8,1100,43.1,1,21,4.8
5/27/19,2,44,9,I,7,2,5,50.8,1100,43.1,1,20,5.1
5/27/19,2,44,9,I,7,2,5,50.8,1100,43.1,1,21,4.7
5/27/19,2,44,9,I,7,2,5,50.8,1100,43.1,1,25,7.3
5/27/19,2,44,9,I,7,2,5,50.8,1100,43.1,1,24,6.7
5/27/19,2,44,9,I,7,2,5,50.8,1100,43.1,1,20,4.2
5/27/19,2,46,10,I,7,3,5,50.9,1100,35.1,1,35,27.3
5/27/19,2,46,10,I,7,3,5,50.9,1100,35.1,1,37,25.1
5/27/19,2,46,10,I,7,3,5,50.9,1100,35.1,1,33,17.8
5/27/19,2,46,10,I,7,3,5,50.9,1100,35.1,1,34,19.6
5/27/19,2,46,10,I,7,3,5,50.9,1100,35.1,1,33,19
5/27/19,2,46,10,I,7,3,5,50.9,1100,35.1,1,33,19.1
5/27/19,2,46,10,I,7,3,5,50.9,1100,35.1,1,33,18.7
5/27/19,2,47,11,D,7,5,5,50.4,1100,28.5,1,59,85
5/27/19,2,47,11,D,7,5,5,50.4,1100,28.5,1,57,57.5
5/27/19,2,47,11,D,7,5,5,50.4,1100,28.5,1,54,67.9
5/27/19,2,47,11,D,7,5,5,50.4,1100,28.5,1,59,99.4
5/27/19,2,47,11,D,7,5,5,50.4,1100,28.5,1,54,67
5/27/19,2,47,11,D,7,5,5,50.4,1100,28.5,1,59,95.7
5/27/19,2,47,11,D,7,5,5,50.4,1100,28.5,1,53,63.7
5/27/19,2,48,11,I,7,6,5,49.3,1100,29.2,1,67,115.2
5/27/19,2,48,11,I,7,6,5,49.3,1100,29.2,1,63,110.4
5/27/19,2,48,11,I,7,6,5,49.3,1100,29.2,1,62,95.4
5/27/19,2,48,11,I,7,6,5,49.3,1100,29.2,1,61,87.9
5/27/19,2,48,11,I,7,6,5,49.3,1100,29.2,1,67,119.5
5/27/19,2,48,11,I,7,6,5,49.3,1100,29.2,1,65,102.5
5/27/19,2,48,11,I,7,6,5,49.3,1100,29.2,1,65,129
5/27/19,2,49,12,D,7,2,5,50.4,1100,43,1,32,18.9
5/27/19,2,49,12,D,7,2,5,50.4,1100,43,1,34,19.1
5/27/19,2,49,12,D,7,2,5,50.4,1100,43,1,32,17.5
5/27/19,2,49,12,D,7,2,5,50.4,1100,43,1,34,19.9
5/27/19,2,49,12,D,7,2,5,50.4,1100,43,1,37,26.2
5/27/19,2,49,12,D,7,2,5,50.4,1100,43,1,32,17.5
5/27/19,2,49,12,D,7,2,5,50.4,1100,43,1,30,13.8
5/27/19,2,50,12,I,7,3,5,50.4,1100,33,1,27,10.1
5/27/19,2,50,12,I,7,3,5,50.4,1100,33,1,21,4.7
5/27/19,2,50,12,I,7,3,5,50.4,1100,33,1,23,7.1
5/27/19,2,50,12,I,7,3,5,50.4,1100,33,1,19.5,3.7
5/27/19,2,50,12,I,7,3,5,50.4,1100,33,1,20,3.8
5/27/19,2,50,12,I,7,3,5,50.4,1100,33,1,24,7
5/27/19,2,50,12,I,7,3,5,50.4,1100,33,1,21,4
5/27/19,2,51,14,I,7,6,5,50.8,1100,17.6,1,62,101.4
5/27/19,2,51,14,I,7,6,5,50.8,1100,17.6,1,65,129.8
5/27/19,2,51,14,I,7,6,5,50.8,1100,17.6,1,63,100
5/27/19,2,51,14,I,7,6,5,50.8,1100,17.6,1,63,119.6
5/27/19,2,51,14,I,7,6,5,50.8,1100,17.6,1,66,112.4
5/27/19,2,51,14,I,7,6,5,50.8,1100,17.6,1,64,99.5
5/27/19,2,51,14,I,7,6,5,50.8,1100,17.6,1,66,104.3
5/27/19,2,52,14,D,7,4,5,50.5,1100,25.1,1,43,37.7
5/27/19,2,52,14,D,7,4,5,50.5,1100,25.1,1,45,43.6
5/27/19,2,52,14,D,7,4,5,50.5,1100,25.1,1,43,31.5
5/27/19,2,52,14,D,7,4,5,50.5,1100,25.1,1,45,40.9
5/27/19,2,52,14,D,7,4,5,50.5,1100,25.1,1,47,48.8
5/27/19,2,52,14,D,7,4,5,50.5,1100,25.1,1,42,33.5
5/27/19,2,52,14,D,7,4,5,50.5,1100,25.1,1,48,45.5
